Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uf","c_0402",7.350000,19.010000,270.000000,bottom
"C2","4.7uf","c_0402",7.380000,21.650000,270.000000,bottom
"C3","100uf","C_0805",-5.640000,14.760000,270.000000,bottom
"C5","4.7uf","c_0402",2.760000,19.210000,90.000000,bottom
"C6","4.7uf","c_0402",6.930000,12.990000,0.000000,bottom
"C7","0.47uf","c_0201_least",4.170000,15.020000,90.000000,bottom
"C8","4.7uf","c_0402",-0.270000,14.750000,0.000000,bottom
"C9","0.1uf","c_0201_least",8.970000,20.640000,90.000000,bottom
"C10","0.1uf","c_0201_least",4.960000,22.240000,90.000000,bottom
"C11","4.7uf","c_0402",-2.010000,13.080000,180.000000,bottom
"C12","0.47uf","c_0201_least",6.050000,14.760000,0.000000,bottom
"C13","0.1uf","c_0201_least",5.760000,19.260000,270.000000,bottom
"C14","0.1uf","c_0201_least",9.990000,22.470000,90.000000,bottom
"C15","4.7uf","c_0402",5.420000,17.950000,180.000000,bottom
"C16","0.47uf","c_0201_least",-0.630000,13.430000,90.000000,bottom
"C17","0.47uf","c_0201_least",4.970000,15.830000,90.000000,bottom
"C18","0.47uf","c_0201_least",1.770000,16.870000,270.000000,bottom
"C19","0.47uf","c_0201_least",4.970000,14.240000,90.000000,bottom
"C20","0.47uf","c_0201_least",0.170000,16.870000,270.000000,bottom
"C21","0.47uf","c_0201_least",2.570000,12.870000,270.000000,bottom
"C22","0.47uf","c_0201_least",5.780000,16.070000,270.000000,bottom
"C23","0.47uf","c_0201_least",3.370000,15.950000,90.000000,bottom
"C24","0.47uf","c_0201_least",1.100000,15.040000,90.000000,bottom
"C25","0.47uf","c_0201_least",4.080000,17.570000,270.000000,bottom
"C26","0.47uf","c_0201_least",2.570000,14.470000,270.000000,bottom
"C27","47uf","C_0603",-8.360000,11.830000,0.000000,bottom
"C28","47uf","C_0603",-4.410000,2.100000,180.000000,bottom
"C29","47uf","C_0603",0.600000,4.570000,90.000000,bottom
"C30","47uf","C_0603",9.000000,16.820000,90.000000,bottom
"C31","4.7uf","c_0402",-1.000000,11.550000,0.000000,bottom
"C32","4.7uf","c_0402",6.140000,9.960000,180.000000,bottom
"C33","4.7uf","c_0402",-1.260000,21.450000,90.000000,bottom
